dlga_1164|Dummy first line
dlga_id:cultist_info_4|听 起 来 倒 不 麻 烦。那 我 能 得 到 什 么？
dlga_id:cultist_trade_1|我 们 会 给 你 新 兵 作 为 回 报。他 们 都 是 颇 有 潜 力 的 好 苗 子，在 你 军 中 历 练 几 个 月，便 能 成 为 可 怕 的 战 士。对 你 而 言，这 些 人 可 比 村 民 有 用 得 多。^你 每 交 给 我 们 1名 村 民 或 狂 信 徒，我 们 就 给 你 1名 新 兵。你 现 在 手 里 有 村 民 或 狂 信 徒 吗？
dlga_id:cultist_end_1|有，我 有 一 些 村 民 愿 意 拿 来 交 易。{reg33?:}
dlga_id:close_window_365|眼 下 我 没 有 东 西 可 以 给 你。
dlga_id:close_window_366|你 作 出 了 明 智 的 选 择。愿 这 些 新 兵 为 你 赢 得 荣 耀。
dlga_id:cultist_trade_1_2|日 安。你 有 村 民 要 同 我 交 换 吗？
dlga_id:ransom_broker_intro|日 安，{reg33?女 士:先 生}。看 你 的 模 样，认 识 我 对 你 大 有 好 处。
dlga_id:ransom_broker_intro_2|为 什 么 这 么 说？
dlga_id:ransom_broker_info_talk|我 专 门 为 那 些 在 无 休 止 战 争 中 沦 为 俘 虏 的 可 怜 虫 居 中 斡 旋、商 议 赎 金。^平 日 里，我 受 失 踪 者 亲 属 所 托，往 来 于 盐 矿 与 海 岸 奴 隶 市 场 之 间。可 若 我 奔 波 于 这 些“慈 善 差 事”时，恰 好 碰 上 有 人 拖 着 一 两 个 俘 虏，做 点 投 机 买 卖 又 有 何 妨？^而 你 看 起 来，正 是 那 种 手 里 可 能 有 俘 虏 要 卖 的 人。
dlga_id:ransom_broker_families|要 是 他 们 的 家 人 付 不 起 赎 金 呢？
dlga_id:ransom_broker_info_talk_2|哦，那 我 就 给 他 们 讲 几 个 桨 帆 船 上 的“温 馨 故 事”。只 要 有 适 当 的 动 力，你 会 惊 讶 一 个 农 民 能 从 牛 棚 里 翻 出 多 少 财 物，又 能 从 亲 戚 那 里 哄 来 多 少 钱！^若 最 后 还 是 凑 不 齐 银 子，也 总 有 奴 隶 贩 子 缺 少 划 桨 手。要 知 道，钱 袋 空 空，可 办 不 成 天 堂 的 事 业。
dlga_id:ransom_broker_prices|一 名 俘 虏 能 卖 多 少 钱？
dlga_id:ransom_broker_info_talk_3|这 得 看 人。我 自 认 很 会 估 量 一 个 人 值 多 少 赎 金。衣 着、口 音、举 止—— 只 消 看 上 几 眼，便 能 知 道 他 是 饿 着 肚 子 入 睡，还 是 每 晚 都 吃 得 起 软 面 团 和 烤 鹅。^当 然，真 正 值 钱 的 是 贵 族。若 想 干 我 这 一 行，就 得 熟 悉 新 世 界 每 个 有 产 家 族 的 领 地、纹 章、婚 生 子 与 私 生 子，乃 至 他 们 在 商 人 那 里 的 信 誉。
dlga_id:ransom_broker_ransom_me|要 是 我 被 俘，你 能 替 我 安 排 赎 身 吗？
dlga_id:ransom_broker_info_talk_4|当 然。我 在 新 世 界 的 每 一 座 宫 廷 都 是 座 上 宾—— 没 几 个 人 敢 这 样 说！所 以，务 必 在 某 个 隐 秘 地 方 埋 好 一 罐 金 子，再 留 下 一 名 能 在 紧 要 关 头 迅 速 找 到 它 的 忠 仆。
dlga_id:ransom_broker_ransom_lords|我 抓 到 的 领 主，你 也 能 替 他 们 商 议 赎 金 吗？
dlga_id:ransom_broker_info_talk_5|不 行，他 们 对 我 来 说 太 危 险 了。^^你 可 以 去 另 一 位 领 主 的 封 地，找 当 地 狱 卒 谈 谈；他 或 许 愿 意 替 你 交 涉。成 与 不 成，要 看 对 方 阵 营 是 否 足 够 信 任 你，也 要 看 你 手 中 是 否 扣 着 他 们 的 敌 人。
dlga_id:ransom_broker_pretalk|我 明 白 了，多 谢。
dlga_id:ransom_broker_talk|你 好。你 若 带 了 俘 虏，我 可 以 出 钱 收 下。
dlga_id:ransom_broker_talk_2|不 管 怎 样，如 果 你 有 俘 虏，我 很 乐 意 买 下 他 们。
dlga_id:ransom_broker_sell_prisoners|那 就 把 钱 袋 准 备 好。我 有 一 些 俘 虏 要 卖。
dlga_id:ransom_broker_sell_prisoners_all|我 要 把 随 行 的 所 有 俘 虏 全 部 卖 掉。
dlga_id:ransom_broker_sell_prisoners_all_2|让 我 看 看……这 {reg2?{reg1}名 俘 虏:名 俘 虏}，我 出 {reg0}金 币。成 交 吗？
dlga_id:ransom_broker_pretalk_2|说 定 了！
dlga_id:ransom_broker_pretalk.1|让 我 再 考 虑 一 下。
dlga_id:ransom_broker_intro_2_2|再 跟 我 说 一 遍，你 究 竟 是 做 什 么 的？
dlga_id:ransom_kingdom_hero|我 想 为 本 地 地 牢 里 的 一 位 贵 族 支 付 赎 金。
dlga_id:ransom_kingdom_hero_2|我 想 给 当 地 监 狱 的 贵 族 支 付 赎 金
dlga_id:ransom_broker_pretalk_3|我 已 经 无 能 为 力 了，{s0}。那 些 俘 虏 本 就 归 你 所 有，任 你 处 置。
dlga_id:ransom_broker_pretalk.1_2|抱 歉，{s0}。即 使 凭 我 的 关 系，恐 怕 {s1} 也 不 会 接 受 你 的 金 币。
dlga_id:ransom_kingdom_hero_choose|你 想 为 谁 支 付 赎 金？
dlga_id:ransom_broker_pretalk_4|没 什 么
dlga_id:ransom_kingdom_hero_chosen|{s1}
dlga_id:ransom_kingdom_hero_3|抱 歉，{s0}。既 然 {s1} 与 {s2} 敌 对，我 恐 怕 无 法 为 一 名 {s3} 的 释 放 进 行 交 涉。
dlga_id:ransom_kingdom_hero_pay|据 我 所 知，{s11} 的 自 由 目 前 值 {s1}，对 吗？
dlga_id:close_window_367|当 然。我 希 望 立 刻 和 {s11} 谈 谈。
dlga_id:ransom_kingdom_hero_choose_2|我 眼 下 还 付 不 起 这 笔 钱。
dlga_id:ransom_broker_ransom_companion|我 想 替 一 名 被 俘 的 同 伴 支 付 赎 金。
dlga_id:ransom_broker_ransom_companion_choose|你 打 算 赎 回 谁？
dlga_id:ransom_broker_ransom_companion_name_sum|{s4}
dlga_id:ransom_broker_pretalk_5|没 什 么
dlga_id:ransom_broker_ransom_companion_verify|让 我 查 查 账 册……有 了。你 的 朋 友 被 关 在 {s7} 的 地 牢 里。有 意 思，我 听 说 那 里 的 老 鼠 大 得 像 獒 犬……^言 归 正 传，只 要 支 付 {reg5}枚 金 币—— 其 中 已 包 含 赎 金、我 的 佣 金 和 各 项 开 销—— 我 就 能 安 排 {s5} 重 获 自 由。你 意 下 如 何？
dlga_id:ransom_broker_ransom_companion_accept|这 是 给 你 的 钱。
dlga_id:ransom_broker_ransom_companion_refuse|我 现 在 付 不 起 那 么 多 钱。
dlga_id:ransom_broker_talk_3|太 好 了！再 过 几 天，你 应 该 就 会 看 到 {s5} 骑 马 赶 来 与 你 会 合。重 见 阳 光 时 或 许 还 会 被 晃 得 睁 不 开 眼；想 必 也 会 对 你 感 激 不 尽。还 有 什 么 需 要 我 效 劳 的 吗？
dlga_id:ransom_broker_talk_4|当 然，当 然……至 于 那 些 老 鼠，别 把 传 闻 太 当 真。我 自 己 从 未 见 过—— 地 牢 里 黑 得 伸 手 不 见 五 指。总 之，我 相 信 {s5} 会 理 解 你 为 何 必 须 节 省 开 支。还 有 别 的 事 吗？
dlga_id:close_window_368|这 次 没 有 了。再 会。
dlga_id:ransom_broker_sell_prisoners_3|我 有 些 俘 虏 要 卖……
dlga_id:close_window_369|我 会 在 这 里 待 几 天，你 随 时 可 以 来 找 我。
dlga_id:tavern_traveler_talk|日 安，朋 友。看 你 的 模 样，认 识 我 对 你 大 有 好 处。我 常 年 游 历 新 世 界 各 地，耳 目 也 颇 为 灵 通。只 要 一 点 小 钱，我 就 能 告 诉 你 些 或 许 有 用 的 消 息。
dlga_id:tavern_traveler_lost_companion_thanks|你 好，{playername}。几 天 前，我 在 {s11} 的 酒 馆 见 到 了 你 的 同 伴 {s10}。我 想 你 应 该 会 想 知 道。
dlga_id:tavern_traveler_pretalk|多 谢。我 会 去 那 里 找 {reg3?她 :他 }。
dlga_id:tavern_traveler_pretalk.1|多 谢，不 过 我 并 不 在 意。
dlga_id:tavern_traveler_talk.1|日 安，{playername}。
dlga_id:tavern_traveler_talk_2|什 么 事？
dlga_id:tavern_traveler_tell_kingdoms|你 对 这 片 土 地 了 解 多 少？
dlga_id:tavern_traveler_tell_kingdoms_2|新 世 界 被 数 个 相 互 敌 视 的 王 国 瓜 分。它 们 既 无 法 与 邻 国 和 平 共 处，也 无 力 将 对 手 彻 底 消 灭。于 是，苦 战 几 乎 从 未 停 歇，像 瘟 疫 般 折 磨 这 片 土 地、汲 取 它 的 鲜 血。^不 过，对 你 这 样 的 冒 险 者 而 言，这 倒 是 一 个 大 展 身 手 的 好 地 方。只 要 有 几 分 运 气 和 本 领，你 便 能 在 此 扬 名、积 累 财 富，甚 至 掌 握 大 权。只 要 敢 拿 性 命 去 博，机 会 与 回 报 都 无 穷 无 尽。
dlga_id:tavern_traveler_tell_kingdoms_3|再 跟 我 说 说 这 些 机 会。
dlga_id:close_window_370|谢 谢，这 些 就 够 了。
dlga_id:tavern_traveler_tell_kingdoms_4|看 来 你 已 经 知 道 得 不 少 了，我 也 没 什 么 可 再 告 诉 你 的。你 混 得 挺 不 错。
dlga_id:tavern_traveler_tell_kingdoms_4a|交 战 中 的 王 国 往 往 愿 意 为 佣 兵 支 付 高 价。只 要 你 已 有 一 些 战 场 经 验，去 找 他 们 的 领 主 谈 谈，多 半 就 能 得 到 一 份 佣 兵 契 约。^不 过，真 正 丰 厚 的 回 报 来 自 成 为 国 王 的 封 臣。封 臣 可 以 拥 有 村 庄、城 堡 和 城 镇，并 从 领 地 的 税 赋 与 收 益 中 积 累 财 富。^通 常，只 有 王 国 贵 族 才 能 如 此 拥 有 土 地；可 在 战 争 年 代，国 王 也 会 接 纳 那 些 在 战 场 上 崭 露 头 角 的 人 为 封 臣，并 授 予 其 土 地。
dlga_id:tavern_traveler_tell_kingdoms_4_2|冒 险 者 彻 底 背 弃 对 新 世 界 国 王 的 效 忠、自 立 为 王，并 以 自 己 的 名 义 夺 取 土 地，这 种 事 并 非 闻 所 未 闻。^然 而，这 是 一 条 艰 难 的 道 路。那 些 世 系 悠 久 的 大 贵 族，绝 不 会 轻 易 接 受 一 个 暴 发 户 作 他 们 的 君 王。想 走 这 条 路，就 必 须 谨 慎 确 立 自 己 的 统 治 权，否 则 四 面 八 方 的 敌 人 都 会 扑 上 来。
dlga_id:tavern_traveler_tell_kingdoms_5|对 你 这 样 的 冒 险 者 而 言，支 持 某 位 在 位 国 王 的 竞 争 者，或 许 更 容 易 一 些。^新 世 界 有 不 少 这 样 的 王 位 觊 觎 者：他 们 出 身 显 赫 家 族，四 处 宣 扬 自 己 比 现 任 国 王 更 有 资 格 继 承 王 位，并 借 此 煽 动 纷 争。^只 要 找 到 足 够 的 支 持 者，他 们 便 能 掀 起 内 战，甚 至 终 有 一 日 取 代 现 任 国 王。
dlga_id:tavern_traveler_tell_kingdoms_6|有 意 思。我 要 去 哪 里 寻 找 这 些 王 位 觊 觎 者？
dlga_id:close_window_371|我 听 得 差 不 多 了，谢 谢。
dlga_id:tavern_traveler_pretalk_2|王 位 觊 觎 者 若 留 在 自 己 的 国 家，性 命 自 然 难 保。因 此，他 们 通 常 寄 居 于 敌 对 王 国 的 宫 廷，一 面 拉 拢 支 持，一 面 寻 找 愿 意 为 其 大 业 挺 身 而 出 的 人。^我 时 常 能 听 到 其 中 一 些 人 的 消 息，或 许 可 以 相 当 准 确 地 告 诉 你 他 们 在 哪 里。不 过，这 样 的 消 息 当 然 不 会 白 送。
dlga_id:tavern_traveler_pretender_location|我 想 知 道 一 位 王 位 觊 觎 者 的 下 落。
dlga_id:tavern_traveler_pretender_location_ask|你 想 打 听 谁 的 下 落？
dlga_id:tavern_traveler_pretender_location_ask_2|{s11}
dlga_id:tavern_traveler_pretalk_3|算 了。
dlga_id:tavern_traveler_pretender_location_ask_money|只 要 一 点 小 小 的 报 酬，我 就 能 把 这 条 消 息 告 诉 你。就 收 30枚 金 币 吧。
dlga_id:tavern_traveler_pretender_location_tell|好 的，这 是 30金 币。
dlga_id:tavern_traveler_pretalk_4|算 了。
dlga_id:tavern_traveler_pretalk_5|{s15} 目 前 在 {s11}。
dlga_id:tavern_traveler_answer|日 安。听 说 你 是 那 种 会 对 消 息 感 兴 趣 的 {reg33?女 人:男 人}。我 经 常 前 往 {s17}；只 要 100枚 金 币，我 就 把 知 道 的 一 切 都 告 诉 你。
dlga_id:tavern_traveler_continue|这 是 100金 币。告 诉 我 你 都 知 道 些 什 么。
dlga_id:close_window_372|抱 歉 朋 友。我 没 兴 趣。
dlga_id:close_window_373|好 了，我 知 道 的 都 已 告 诉 你。再 会。
dlga_id:bookseller_talk|日 安，{reg33?女 士 :先 生 }。要 看 看 我 的 货 吗？
dlga_id:bookseller_buy|好，让 我 看 看 你 有 什 么 好 东 西。
dlga_id:book_trade_completed|当 然 {reg33?长 官:长 官}。
dlga_id:bookseller_talk_2|还 有 别 的 事 吗？
dlga_id:close_window_374|没 什 么，谢 谢。
dlga_id:minstrel_1|幸 会，客 人。若 想 在 战 斗 中 多 几 分 胜 算，不 妨 看 看 我 的 货。
dlga_id:minstrel_job_description|这 些 药 剂 是 怎 样 调 制 出 来 的？
dlga_id:minstrel_buy_potions|我 有 兴 趣。你 都 卖 些 什 么？
dlga_id:minstrel_ask_belt_1|请 跟 我 说 说 你 身 上 那 条 颇 为 奇 特 的 药 剂 腰 带……
dlga_id:minstrel_cure_poison|你 能 替 我 的 同 伴 解 毒 吗？
dlga_id:close_window_375|也 许 改 天 吧。
dlga_id:minstrel_2|还 有 别 的 事 吗？
dlga_id:minstrel_buy_potions_2|让 我 再 看 看。
dlga_id:minstrel_ask_belt_1_2|再 跟 我 说 说 那 条 腰 带……
dlga_id:minstrel_cure_poison_2|你 能 替 我 的 同 伴 解 毒 吗？
dlga_id:close_window_376|暂 时 不 用 了。我 已 经 得 到 所 需 之 物。
dlga_id:minstrel_1_2|那 些 都 是 行 家 不 外 传 的 秘 密。调 制 药 剂 与 施 法 一 样 艰 深，也 同 样 考 验 技 艺；只 不 过，炼 金 术 通 常 被 视 为 较 温 和 的 手 段，受 到 的 管 束 也 少 得 多。^胡 乱 施 法 的 人 会 被 追 捕、处 置；可 像 我 这 样 既 有 本 事 又 懂 得 谨 慎 的 人，却 能 在 社 会 中 安 稳 发 财，而 不 被 抓 到。你 最 好 善 用 我 的 手 艺。
dlga_id:minstrel_cure_poison_choice|治 疗 {reg0}名 同 伴 需 要 花 费 {reg1}金 币。
dlga_id:minstrel_buy_potions_3|好 吧，治 愈 他 们。
dlga_id:minstrel_buy_potions.1|算 了。
dlga_id:minstrel_ask_belt_2|啊，是 的，这 是 我 亲 手 制 作 的 战 术 药 剂 腰 带。它 能 额 外 容 纳 {reg0}瓶 药 剂，而 这 些 药 剂 通 常 无 法 塞 进 你 的 随 身 行 囊。战 斗 时 只 要 带 着 腰 带，便 能 随 时 取 用 其 中 的 药 剂。^^当 然，它 体 积 不 小，所 以 你 会 少 携 带 一 件 武 器。不 过，购 买 腰 带 还 会 附 赠 一 件 随 机 礼 物！^^另 外 得 先 说 明：我 卖 出 的 所 有 腰 带 都 带 有 一 种 魔 法 副 作 用—— 它 们 共 用 同 一 处 储 物 空 间。
dlga_id:minstrel_ask_belt_3|对 您 这 样 的 客 人……我 只 收 区 区 {reg31}枚 金 币。不 过 若 不 赶 紧 买，下 次 可 能 更 贵—— 成 本 总 在 上 涨。^^我 还 要 一 样 东 西。调 制 药 剂 需 要 许 多 材 料，其 中 一 些 极 难 取 得。眼 下 我 需 要 一 只 活 着 的 树 人，俘 获 的 或 驯 服 的 都 行；它 们 通 常 出 没 于 艾 瑟 洛 伦 森 林。^^带 一 只 来，再 付 上 金 币，这 条 腰 带 就 归 你 了！
dlga_id:minstrel_ask_belt_4|那 么，你 觉 得 如 何？
dlga_id:minstrel_ask_belt_5|是 的，我 要 一 条！
dlga_id:minstrel_buy_potions_4|没 什 么
dlga_id:minstrel_2_2|好 好 享 用 吧！你 可 以 在 营 地 菜 单 中 补 充 腰 带 里 的 药 剂。
dlga_id:farmer_from_bandit_village_1|{reg33?女 士:大 人}，你 看 起 来 是 个 仗 剑 行 事 的 {reg33?女 士:男 人}，也 许 能 帮 助 我 们。愿 意 听 听 我 的 请 求 吗？
dlga_id:farmer_from_bandit_village_2|出 了 什 么 事，老 乡？
dlga_id:farmer_from_bandit_village_2.1|你 在 嘟 囔 些 什 么，乡 巴 佬？说 出 来。
dlga_id:farmer_from_bandit_village_3|一 伙 强 盗 躲 进 了 我 们 的 村 子。他 们 抢 走 我 们 的 一 切，逼 我 们 服 侍 他 们，还 作 尽 恶 事。^谁 只 要 敢 抱 怨 一 句，他 们 当 场 就 会 取 走 那 个 可 怜 人 的 性 命。我 们 实 在 活 不 下 去 了，所 以 我 冒 死 逃 出 来，想 找 个 能 救 我 们 的 人。
dlga_id:farmer_from_bandit_village_4|你 为 什 么 不 去 找 村 庄 的 领 主？收 拾 那 些 害 虫，本 就 是 他 的 职 责。
dlga_id:farmer_from_bandit_village_5|我 去 过 了，{reg33?女 士 :先 生 }，但 我 们 领 主 的 士 兵 不 让 我 见 他，说 他 正 忙 于 更 重 要 的 事 务，^我 们 应 该 自 己 处 理 自 己 的 问 题。求 您 了 {reg33?女 士 :先 生 }，您 看 起 来 是 位 {reg33?女 士 :英 勇 之 人 }^和 令 人 畏 惧 的 战 士，而 且 您 无 疑 有 许 多 朋 友 和 士 兵 供 您 差 遣。如 果 有 人 能 帮 助 我 们，那 就 是 您 了。
dlga_id:farmer_from_bandit_village_accepted|好，我 会 帮 你 们。村 子 在 哪 里？
dlga_id:farmer_from_bandit_village_denied|我 现 在 没 空 管 这 件 事。
dlga_id:farmer_from_bandit_village_barter|我 为 什 么 要 替 你 们 对 付 强 盗？我 能 得 到 什 么？
dlga_id:close_window_377|愿 神 保 佑 你，{reg33?夫 人 :先 生 }。我 们 的 村 庄 是 {s7}。离 这 儿 不 算 太 远。
dlga_id:close_window_378|如 你 所 说 {reg33?夫 人 :先 生 }。请 原 谅 我 打 扰 你。
dlga_id:farmer_from_bandit_village_5_2|我 们 只 是 穷 苦 农 民，{reg33?女 士:先 生}。强 盗 已 经 抢 走 了 我 们 在 世 上 的 大 部 分 东 西，但 我 们 愿 意 把 剩 下 的 一 切 与 你 分 享。如 果 你 帮 助 我 们，我 们 会 永 远 感 激 你。
dlga_id:close_window.55|多 谢 您 愿 意 帮 我 们，{reg33?女 士:先 生}。把 那 些 强 盗 全 都 碾 碎！
dlga_id:close_window.56|我 的 {reg33?女 士:大 人}……
dlga_id:close_window.57|我 正 在 歇 息！别 来 烦 我。
dlga_id:mercenary_tavern_talk_reject|{s46}
dlga_id:close_window_379|那 算 了……
dlga_id:mercenary_tavern_talk|需 要 雇 佣 兵 吗，{reg33?女 士:先 生}？^{reg3?我 和 {reg4?我 的 {reg3}名 同 伴:我 的 一 名 同 伴}:我} 正 在 找 雇 主。^只 要 {reg5}枚 金 币，{reg3?我 们 就:我 就} 为 你 效 力。^别 小 看 半 身 人 的 个 头，再 高 大 的 敌 人 也 照 样 能 放 倒。
dlga_id:mercenary_tavern_talk.1|想 把 敌 人 砸 进 泥 里 吗？^{reg3?我 和 {reg4?我 的 {reg3}名 同 伴:我 的 一 名 同 伴}:我} 正 愁 没 有 仗 打。^付 {reg5}枚 金 币，{reg3?我 们 就:我 就} 跟 你 走。只 要 管 够 食 物、金 币 和 战 斗，我 们 便 替 你 碾 碎 一 切 敌 人。{reg3?:} {reg3?:}
dlga_id:mercenary_tavern_talk.2|想 用 炮 火 轰 碎 敌 人 吗？^{reg3?我 和 {reg4?我 的 {reg3}名 炮 手:我 的 一 名 炮 手}:我} 正 在 寻 找 值 得 开 火 的 目 标。^付 {reg5}枚 金 币，{reg3?我 们 就:我 就} 加 入 你。我 们 的 火 炮 能 让 来 犯 者 胆 寒，也 能 让 城 墙 在 死 亡 弹 幕 下 崩 塌。{reg3?:} {reg3?:}
dlga_id:mercenary_tavern_talk.3|需 要 对 付 骑 兵 的 人 手 吗，{reg33?女 士:先 生}？那 你 找 不 到 比 我 们 更 合 适 的 了。^{reg3?我 和 {reg4?我 的 {reg3}名 弟 兄:我 的 一 名 弟 兄}:我} 随 时 可 以 出 发。^雇 用 {reg3?我 们:我} 只 需 {reg5}枚 金 币。
dlga_id:mercenary_tavern_talk.4|如 果 你 的 队 伍 需 要 更 强 的 远 程 火 力，就 看 看 我 们 的 弩 吧，{reg33?女 士:先 生}。它 们 威 力 不 输 火 枪，射 速 却 快 得 多。^{reg3?我 和 {reg4?我 的 {reg3}名 同 袍:我 的 一 名 同 袍}:我} 愿 听 你 差 遣。付 {reg5}枚 金 币，{reg3?我 们 就:我 就} 加 入 你。^若 准 备 攻 城，最 好 尽 可 能 多 雇 一 些 我 们 的 人。
dlga_id:mercenary_tavern_talk.5|寻 宝 永 无 止 境，无 论 陆 地 还 是 海 洋，{reg3?我 们:我} 都 随 时 准 备 出 发。^{reg3?我 和 {reg4?我 的 {reg3}名 伙 伴:我 的 一 名 伙 伴}:我} 愿 听 你 号 令。^只 要 {reg5}枚 金 币，{reg3?我 们 就:我 就} 加 入 你。{reg3?:} {reg3?:}
dlga_id:mercenary_tavern_talk.6|如 果 你 看 重 真 本 事 而 不 是 头 衔，就 没 有 比 沃 兰 斯 恶 棍 更 合 适 的 骑 兵 了。我 们 没 有 爵 位，却 不 输 任 何 有 封 地 的 骑 士。^{reg3?我 和 {reg4?我 的 {reg3}名 同 伴:我 的 一 名 同 伴} 现 在 就 能 出 发:我 现 在 就 能 出 发}。^付 {reg5}枚 金 币，这 支 精 锐 突 击 骑 兵 便 听 你 指 挥。{reg3?:}
dlga_id:mercenary_tavern_talk.7|穆 克 塔 战 士 向 你 致 意。我 们 可 靠、迅 捷，而 且 懂 得 在 战 场 上 随 机 应 变。^{reg3?我 和 {reg4?我 的 {reg3}名 弟 兄:我 的 一 名 弟 兄}:我} 随 时 可 以 出 发。^付 {reg5}枚 金 币，{reg3?我 们 就:我 就} 加 入 你。战 马 够 快，刀 锋 够 利，价 钱 也 公 道。{reg3?:}
dlga_id:mercenary_tavern_talk.8|哈！财 宝 或 死 亡，这 就 是 我 们 的 信 条。论 寻 找 财 富，没 有 哪 支 队 伍 比 我 们 更 在 行。^{reg3?我 和 {reg4?我 的 {reg3}名 弟 兄:我 的 一 名 弟 兄}:我} 已 经 整 装 待 发。^付 {reg5}枚 金 币，{reg3?我 们 就:我 就} 跟 你 走。{reg3?:}
dlga_id:mercenary_tavern_talk.9|幸 会，{reg33?女 士:先 生}。我 们 是 艾 里 昂 先 驱 者，既 是 训 练 有 素 的 士 兵，也 是 出 色 的 斥 候。^{reg3?我 和 {reg4?我 的 {reg3}名 队 员:我 的 一 名 队 员}:我} 已 经 备 好 鞍 具，随 时 可 以 出 发。^付 {reg5}枚 金 币，{reg3?我 们 就:我 就} 加 入 你。战 场 上，我 们 弓 矛 并 用。
dlga_id:mercenary_tavern_talk.10|向 你 致 意，{reg33?女 士:先 生}。如 果 你 需 要 可 靠 而 迅 捷 的 弓 手，我 的 人 不 会 让 你 失 望。^{reg3?我 和 {reg4?我 的 {reg3}名 游 侠:我 的 一 名 游 侠}:我} 听 候 差 遣。^付 {reg5}枚 金 币，{reg3?我 们 就:我 就} 加 入 你。{reg3?:}
dlga_id:mercenary_tavern_talk.11|想 找 价 钱 公 道、身 手 过 硬 的 骑 射 手 吗？那 就 雇 我 们 兄 弟 会 的 人。^{reg3?我 和 {reg4?我 的 {reg3}名 同 伴:我 的 一 名 同 伴}:我} 正 在 寻 找 新 的 领 袖。^付 {reg5}枚 金 币，{reg3?我 们 就:我 就} 替 你 作 战，而 且 绝 不 多 问。{reg3?:}
dlga_id:mercenary_tavern_talk.12|凯 恩 渴 求 战 士 的 鲜 血，而 你 渴 求 战 役 的 胜 利。^{reg3?我 和 {reg4?我 的 {reg3}名 姐 妹:我 的 一 名 姐 妹}:我} 愿 与 你 订 立 一 份 互 利 的 契 约。^我 们 的 刀 锋 锐 利，出 手 迅 猛，意 志 冷 酷 无 情。付 {reg5}枚 金 币，{reg3?我 们 就:我 就} 加 入 你。{reg3?:}
dlga_id:mercenary_tavern_talk.13|如 果 你 的 队 伍 需 要 支 援，我 们 是 在 陆 地 与 海 上 都 能 作 战 的 佣 兵。^{reg3?我 和 {reg4?我 的 {reg3}名 伙 伴:我 的 一 名 伙 伴}:我} 随 时 可 以 发 动 突 袭。^无 论 远 射 还 是 近 战，我 们 都 能 站 稳 阵 脚。付 {reg5}枚 金 币，{reg3?我 们 就:我 就} 加 入 你。{reg3?:}
dlga_id:mercenary_tavern_talk.14|没 有 哪 个 种 族 比 混 沌 矮 人 更 有 力 量 和 潜 能。^{reg3?我 和 {reg4?我 的 {reg3}名 同 伴:我 的 一 名 同 伴}:我} 正 在 寻 找 新 的 统 帅。^我 们 的 战 锤 会 粉 碎 敌 人，火 枪 会 撕 裂 他 们 的 血 肉。付 {reg5}枚 金 币，{reg3?我 们 就:我 就} 加 入 你。{reg3?:}
dlga_id:mercenary_tavern_talk.15|黑 暗 诸 神 赐 予 了 我 们 力 量，让 我 们 能 够 摧 毁 所 谓 的 文 明 世 界。^{reg3?我 和 {reg4?我 的 {reg3}名 弟 兄:我 的 一 名 弟 兄}:我} 随 时 可 以 开 始 劫 掠。^若 旅 途 中 遇 到 我 们 的 首 领 贝 奥 尔·熊 击，不 惜 代 价 也 要 雇 下 他。付 {reg5}枚 金 币，{reg3?我 们 就:我 就} 加 入 你。{reg3?:}
dlga_id:mercenary_tavern_talk.16|你 的 队 伍 若 需 要 力 量，就 只 管 准 备 金 币。^{reg3?我 和 {reg4?我 的 {reg3}名 战 士:我 的 一 名 战 士}:我} 已 经 准 备 开 战。^付 {reg5}枚 金 币，{reg3?我 们 就:我 就} 加 入 你。{reg3?:}
dlga_id:mercenary_tavern_talk.17|血 祭 血 神！^{reg3?我 和 {reg4?我 的 {reg3}名 战 士:我 的 一 名 战 士}:我} 已 经 准 备 开 战。^付 {reg5}枚 金 币，{reg3?我 们 就:我 就} 加 入 你。{reg3?:}
dlga_id:mercenary_tavern_talk.18|我 们 为 色 孽 而 活，也 乐 意 替 你 与 敌 人 厮 杀。他 们 的 痛 苦 就 是 我 们 的 欢 愉。^{reg3?我 和 {reg4?我 的 {reg3}名 同 伴:我 的 一 名 同 伴}:我} 愿 听 你 号 令。^付 {reg5}枚 金 币，{reg3?我 们 就:我 就} 加 入 你。{reg3?:}
dlga_id:mercenary_tavern_talk.19|愿 慈 父 纳 垢 的 祝 福 笼 罩 你。^{reg3?我 和 {reg4?我 的 {reg3}名 同 伴:我 的 一 名 同 伴}:我} 已 经 准 备 听 从 你 的 命 令。^付 {reg5}枚 金 币，{reg3?我 们 就:我 就} 加 入 你。
dlga_id:mercenary_tavern_talk.20|Hrrrrrmphwooorgbrrrrrrrmmpa！准 备 好 战 斗 了 吗？^{reg3?我 和 {reg4?我 的 {reg3}名 同 伴:我 的 一 名 同 伴}:我} 已 经 准 备 开 战。^付 {reg5}枚 金 币，{reg3?我 们 就:我 就} 加 入 你。
dlga_id:mercenary_tavern_talk.21|听 我 们 的 战 吼，听 骨 头 碎 裂 的 声 音，闻 敌 人 鲜 血 的 气 味。^{reg3?我 和 {reg4?我 的 {reg3}名 同 伴:我 的 一 名 同 伴}:我} 只 等 战 鼓 响 起。^付 {reg5}枚 金 币，{reg3?我 们 就:我 就} 加 入 你。
