qstr_1164|Dummy first line
qstr_Your_job_was_to_gath|你 的 工 作 是 为 部 落 搜 集 食 物 和 毛 皮。^你 猎 捕 所 有 动 物，包 括 野 猪、狼、熊，及 特 别 大 胆 时 剑 齿 虎。^狩 猎 和 剥 皮 都 需 精 准，若 失 手 毛 皮 被 拒 收，你 就 得 自 掏 腰 包。
qstr_You_loved_the_viciou|你 喜 欢 血 碗 球 场 的 凶 残 野 蛮 的 竞 技 场。你 加 入 了 当 地 的 血 碗 球 队，而 且 尽 管 你 很 少 赢，但 你 不 在 乎。你 打 球 不 是 为 了 把 球 带 过 线，你 只 是 想 粉 碎 对 手，并 送 尽 可 能 多 的 人 去 医 务 室。
qstr_Chaos_love_raiding_t|混 沌 喜 欢 袭 击 帝 国，因 为 帝 国 在 成 为 大 陆 超 级 大 国 时 夺 走 了 原 本 属 于 他 们 的 土 地。尽 管 北 方 战 士 骄 傲 强 大，但 人 数 不 足 以 面 对 帝 国 的 全 力 和 战 争 机 器 并 获 胜。因 此，他 们 不 喜 欢 全 面 战 争，而 是 喜 欢 在 可 能 时 袭 击 掠 夺，试 图 给 西 格 玛 帝 国 施 加 经 济 困 难。你 的 工 作 是 侦 察 帝 国 边 境 的 商 队 和 重 要 车 队，并 了 解 村 庄 何 时 获 得 补 给，然 后 跑 回 去 警 报 袭 击 队 伍。
qstr_There_were_many_road|有 许 多 道 路 可 供 你 选 择，但 你 决 心 成 为 举 世 闻 名 的 战 士。你 想 要 一 个 启 示，你 的 神 的 干 预 来 祝 福 你，赋 予 你 实 现 野 心 所 需 的 力 量。你 在 遥 远 的 北 方 流 浪 多 年，最 终 你 的 神 回 应 了，你 从 山 中 归 来，焕 然 一 新。
qstr_Although_nowhere_nea|尽 管 在 战 斗 中 远 不 够 熟 练，你 年 轻 时 靠 关 系 加 入 了 掠 夺 者，并 在 海 洋 和 海 岸 线 搜 寻 奴 隶 卖 给 其 他 国 家。你 对 登 船 作 战 不 陌 生，并 且 最 喜 欢 与 海 盗 进 行 激 烈 的 小 规 模 冲 突。
qstr_Marauders_do_not_hav|掠 夺 者 与 其 他 军 队 相 比 没 有 太 多 盔 甲，但 他 们 喜 欢 使 用 盾 牌，尽 管 盾 牌 质 量 通 常 很 低。你 想 为 军 队 生 产 优 质 盾 牌，所 以 你 跟 一 个 诺 斯 矮 人 学 习 了 如 何 制 作 坚 固 的 盾 牌。他 还 教 了 你 如 何 用 盾 牌 有 效 防 御。
qstr_You_joined_the_local_|你 加 入 了 当 地 的 血 碗 球 队，并 度 过 了 三 个 非 常 成 功 的 赛 季。你 的 球 队 闪 电 般 快 速 且 非 常 坚 韧。你 掌 握 了 保 护 你 的 灵 蜥 的 技 巧，你 的 鳄 鱼 人 总 是 在 史 诗 般 的 中 心 混 战 中 胜 出。你 发 现 了 所 有 试 图 送 灵 蜥 去 医 务 室 的 对 手，并 直 面 他 们，迫 使 他 们 对 阵 你。他 们 总 是 输 掉。
qstr_Unlike_the_Dark_Elve|与 黑 暗 精 灵 必 须 欺 骗 冷 蜥 作 为 坐 骑 不 同，蜥 蜴 人 与 居 住 在 露 丝 契 亚 的 物 种 有 纽 带，它 们 通 常 自 愿 为 蜥 人 服 务。由 于 蜥 蜴 人 总 是 要 打 很 多 战 争，确 保 各 战 线 有 足 够 骑 兵 很 重 要，所 以 你 将 它 们 成 群 放 牧，准 备 服 役。
qstr_Lizardman_weapons_ar|蜥 蜴 人 的 武 器 可 能 是 全 世 界 最 独 特 的。没 有 其 他 种 族 的 武 器 看 起 来 或 造 成 伤 害 的 方 式 相 同。这 些 武 器 倾 向 于 从 猎 物 身 上 撕 下 大 块 肉，而 不 是 干 净 利 落 地 切 割，其 力 量 在 穿 透 盔 甲 和 血 肉 的 同 时 常 常 让 敌 人 喘 不 过 气。你 作 为 铁 匠，为 军 队 大 规 模 制 造 这 些 武 器。
qstr_You_knew_that_the_ba|你 知 道 战 场 和 战 争 是 你 的 命 运，这 是 每 个 蜥 人 的 命 运，但 你 花 时 间 虔 诚 地 信 奉 你 的 宗 教 和 神 索 提 克。你 朝 圣 圣 地，聆 听 并 向 住 在 神 圣 寺 庙 的 许 多 祭 司 学 习。你 了 解 了 过 去 和 未 来 的 预 言 以 及 为 什 么 保 卫 家 园 免 受 亵 渎 圣 地 之 人 侵 害 如 此 重 要。
qstr_Lustrian_towns_hold_|露 丝 契 亚 的 城 市 也 会 像 其 他 种 族 一 样 举 办 锦 标 赛，而 你 负 责 确 保 赛 事 顺 利 进 行。平 日 里，你 更 重 要 的 职 责 是 训 练 数 百 名 蜥 人 战 士，让 他 们 尽 快 学 会 作 战。年 轻 而 缺 乏 经 验 的 蜥 人 会 来 到 你 的 竞 技 场 学 校 接 受 入 伍 前 训 练；在 被 派 往 战 场 之 前，每 个 人 都 必 须 完 成 你 制 定 的 严 苛 训 练 科 目。
qstr_You_served_your_cast|你 为 你 的 城 堡 领 主 服 务 了 四 年，确 保 他 的 每 个 愿 望 都 得 到 执 行，信 息 链 上 的 每 个 人 都 了 解 情 况 并 朝 着 领 主 的 愿 望 工 作。你 特 意 提 前 掌 握 蜥 蜴 人 王 国 的 所 有 政 治 和 军 事 局 势，所 以 当 领 主 询 问 情 况 时，你 从 不 不 知 所 措 或 无 言 以 对。
qstr_The_biggest_and_stro|最 大 最 强 的 人 统 治 其 他 人，这 是 兽 人 社 会 的 基 本 原 则，成 为“最 大 最 强”的 唯 一 方 法 是 打 赢 其 他 有 抱 负 的 酋 长。但 部 落 中 只 有 一 人 能 成 为“老 大”，那 就 是 你。你 打 了 很 多 仗，赢 了 很 多，成 长 了 很 多，以 至 于 没 人 敢 挑 战 你 的 可 怕 权 威，害 怕 你 的 野 蛮 报 复。然 而，你 作 为 领 袖 的 辉 煌 日 子 在 你 独 自 离 开 部 落 时 结 束 了，因 为……
qstr_The_ways_of_Gork_and|格 克 和 莫 克 的 方 式 很 神 秘，但 对 你 来 说 不 是。你 从 一 开 始 就 听 到 他 们 齐 声 在 你 脑 海 中 低 语，引 导 你 完 成 更 高 目 标。因 此，你 在 山 侧 雕 刻 了 双 神 的 面 孔，作 为 所 有 绿 皮 看 的 标 志。他 们 来 找 你，整 个 Waagh！，聆 听 神 言。“先 知”他 们 称 你 为，你 的 宗 教 支 柱，“神 之 口”。然 而，神 对 你 有 其 他 计 划，所 以 他 们 迫 使 你 离 开 你 的 人 民，带 着 诱 导 的 错 误 信 念……
qstr_Everyone_likes_to_we|每 个 人 都 喜 欢 穿 一 些“硬 家 伙”或 挥 舞“正 宗 致 命 砍 刀”，但 为 了 得 到 它 们，你 需 要 先 打 造 它 们。你 选 择 了 这 个 作 为 工 作。作 为 Waagh铁 匠，你 在 营 地 粗 糙 的 铁 匠 帐 篷 的 烟 熏 黑 暗 中 度 过 日 子，熔 炼 和 重 铸 倒 下 敌 人 的 装 备 成“兽 人 玩 意 儿”，并 偶 尔 踢 懒 地 精 仆 人 的 屁 股，当 他 们 工 作 不 够 快 时。然 而，铁 匠 生 活 很 快 对 你 来 说 太 无 聊 了，所 以 你 离 开 了，因 为……
qstr_The_greenskins__econ|绿 皮 的 经 济 体 系 十 分 独 特，他 们 用 牙 齿 当 作 货 币。绿 皮 营 地 每 天 都 可 能 爆 发 好 几 场 斗 殴，再 加 上 绿 皮 牙 齿 长 得 飞 快，一 场 普 通 的 醉 酒 打 架 转 眼 就 能 变 成 露 天 银 行。你 总 躲 在 斗 殴 外 围，在 同 伴 飞 舞 的 拳 头 间 钻 来 钻 去，日 复 一 日 地 捡 走 越 来 越 多 的 牙 齿。这 算 光 彩 吗？“谁 在 乎！”你 立 刻 回 答。带 着 满 满 一 袋 财 富，你 有 一 天 离 开 了 营 地，因 为……
qstr_Orcs_love_dwarf_tunn|兽 人 喜 欢 矮 人 隧 道，但 讨 厌 住 在 里 面 的 矮 人。作 为 隧 道 居 民，你 学 会 了 如 何 在 狭 窄 空 间 正 确 战 斗 和 防 御，如 何 在 黑 暗 中 聚 焦 视 力 并 锐 化 方 向 感，这 是 在 山 区 内 部 导 航 的 关 键 技 能。但 你 没 意 识 到 自 己 本 能 驱 动 的 高 级 训 练，你 只 想 <<砍 倒 那 些 该 死 的 矮 冬 瓜！>>拿 走 他 们 所 有 的“闪 亮 玩 意 儿”。然 而，某 时 你 决 定 停 止 地 下 活 动，因 为……
qstr_Pirates_are_a_quite_|海 盗 是 海 上 商 人 与 探 险 家 的 常 见 威 胁，但 一 群 兽 人 海 盗 可 远 不 止“威 胁”那 么 简 单。“呀——Waagh！脏 小 子，把 财 宝 交 出 来，准 备 让 俺 们 登 船！”外 交 从 来 不 是 你 的 强 项，不 过 结 果 才 是 最 重 要 的，而 你 那 套 独 门 外 交 既 有 效 又 有 趣。你 带 着 伙 伴 乘 风 破 浪，驾 驶 那 艘 奇 迹 般 还 没 沉 掉 的 木 筏—— 你 得 意 地 称 它 为“飞 翔 绿 皮 号”—— 到 处 跳 帮 砍 杀。这 样 的 日 子 仿 佛 天 生 适 合 你，直 到 某 一 天，你 决 定 告 别 海 盗 生 涯，因 为……
qstr_When_the_tribe_reuni|当 部 落 聚 集 在 同 一 名 地 精 的 破 旗 之 下，成 千 上 万 颗 绿 皮 脑 袋 里 扭 曲 而 迟 钝 的 念 头 会 汇 成 一 股 奇 怪 力 量。你 的 职 责，就 是 驾 驭“小 Waagh之 力！”，把 它 变 成 毛 哥 与 搞 哥 的 意 志。除 此 之 外，你 还 得 酿 蘑 菇 酒—— 没 有 哪 个 地 精 敢 在 不 喝 这 种 狂 暴 药 酒 的 情 况 下 上 战 场。^重 要 的 职 责 让 你 爬 上 了 部 落 高 层，但 强 大 力 量 总 伴 随 着 更 大 的 爆 炸。一 次 战 前 施 法 失 误，几 乎 把 整 场 Waagh！炸 得 精 光。你 逃 离 寥 寥 无 几 的 幸 存 者，躲 进 一 个 空 心 树 桩，藏 了 很 长 一 段 时 间。
qstr_You_were_in_the_serv|你 曾 为 一 群 萨 满 效 力，他 们 专 门 制 作 使 用 各 种 实 验 性 兴 奋 剂 和 致 幻 剂 的 药 水 和 药 膏。起 初 你 是 为 了 金 币 而 做，后 来 你 免 费 做，当 你 对 这 些 彩 色 瓶 子 和 药 瓶 的 瘾 达 到 顶 点 时，萨 满 们 设 法 让 你 付 费 享 受 这 个 特 权。多 年 来，它 们 对 你 产 生 了 许 多 奇 怪 的 影 响，你 只 有 在 萨 满 们 因 其 中 一 种 混 合 物 失 控 引 起 的 爆 炸 中 丧 生 后 才 摆 脱 了 他 们 的 控 制。在 旧 世 界，没 有 毒 品 的 生 活 如 同 地 狱，但 你 最 终 挺 过 来 了。
qstr_You_offered_your_ser|你 向 绿 皮 飞 行 队 提 供 服 务，并 成 为 旧 世 界 的 翼 装 奇 观 之 一。在 战 场 上，你 被 弹 射 到 空 中，然 后 本 应 神 风 特 攻 式 地 撞 向 一 名 显 要 敌 人，同 归 于 尽。你 热 爱 你 的 工 作，高 飞 在 战 场 上 空，视 野 数 英 里，你 曾 在 飞 行 中 扯 下 一 名 直 升 机 飞 行 员 的 胡 子。唯 一 的 问 题 是，你 从 未 履 行 协 议 的 另 一 端。你 似 乎 由 如 此 坚 韧 的 材 料 制 成，以 至 于 总 是 能 在 俯 冲 中 幸 存，常 常 骨 折 和 瘀 伤，但 你 总 能 活 到 改 日 再 飞。
qstr_Fast._Dodge_a_couple|快！躲 开 几 发 散 弹 火 铳。跳 过 一 具 地 精 尸 体，你 边 跑 边 骂 了 声“蠢 货”。一 名 矮 人 迎 面 冲 来，斧 刃 与 盔 甲 在 火 光 中 闪 烁。你 继 续 狂 奔，一 名 末 日 俯 冲 者 尖 叫 着 从 头 顶 掠 过，正 好 撞 进 那 矮 人 的 胸 膛。道 路 畅 通—— 继 续 跑。^目 标 就 在 那 里：一 个 白 发 矮 人，穿 着 古 怪 的 衣 服。那 是 机 器 吗？“亮 闪 闪！俺 喜 欢 这 矮 人 玩 意！”他 还 没 有 发 现 你。矮 人 工 程 师 正 忙 着 摆 弄 火 炮，只 看 见 一 个 裹 着 破 布、尖 叫 不 止 的 东 西 朝 自 己 扑 来。那 名 注 定 要 死 的 矮 人 最 后 看 见 的，是 一 把 粗 糙 短 刀 正 逼 近 他 的 喉 咙。随 后，一 切 归 于 黑 暗。
qstr_The_great_steppes_of|东 方 的 大 草 原，如 同 荒 芜 的 恶 地，是 大 地 精 部 落 的 居 住 和 狩 猎 地，他 们 以 驯 服 和 骑 狼 作 战 的 独 特 传 统 而 令 人 恐 惧。对 任 何 勇 敢 穿 越 那 些 荒 野 的 商 队 或 冒 险 者 来 说，他 们 是 真 正 的 灾 祸。但 你 从 不 关 心 那 些 你 无 情 杀 戮 的 人 的 看 法，你 一 直 渴 望 的 只 是 快 速 骑 行 和 战 斗 后 能 收 集 的 所 有 珍 贵 战 利 品。当 伏 击 另 一 个 毫 无 戒 备 的 商 队 时 机 临 近 时，你 总 是 欢 欣 鼓 舞，随 时 准 备 用 绿 色 字 母 签 署 他 们 的 终 结。
qstr_A_goblin_with_someth|一 个 地 精 居 然 有 颗 勉 强 能 运 转 的 大 脑？不 可 能。可 你 偏 偏 存 在，真 是 绿 皮 中 的 稀 罕 货。你 厌 倦 了 同 类 简 单 得 可 怜 的 脑 子，也 受 够 了 那 个 被 他 们 叫 作 老 大 的 鼻 涕 精，于 是 凭 借 超 乎 寻 常 的 智 慧 谋 划 夺 权。没 过 多 久，你 便 在 部 落 中 煽 动 了 一 场 大 规 模 叛 乱：你 散 布“老 大 是 矮 人 的 朋 友”，甚 至“俺 看 见 老 大 亲 了 一 只 史 奎 格”之 类 的 谣 言。战 斗 平 息 后，你 自 然 被 拥 戴 为 叛 乱 英 雄 和 新 老 大。^可 惜 爬 得 越 高，摔 得 越 狠。一 个 对 手 把 一 群 史 奎 格 放 进 你 的 住 处，你 只 得 在 全 体 族 人 面 前 落 荒 而 逃，也 给 了 他 们 一 个 把 你 赶 下 台 的 绝 佳 理 由。
qstr_Other_nations_loved_|其 他 国 家 喜 欢 与 高 等 精 灵 贸 易，因 为 他 们 产 品 的 质 量 和 在 乌 苏 安 能 找 到 的 一 些 优 质 资 源，所 以 一 个 高 等 精 灵 城 镇 常 常 挤 满 了 外 国 商 人，他 们 为 生 计 而 买 卖 和 易 货。你 担 任 了 托 阿 查 尔 的 行 会 会 长 四 年，这 是 一 份 要 求 很 高 的 工 作。
qstr_You_always_liked_blo|你 一 直 喜 欢 血 碗，经 常 观 看 比 赛，但 从 未 想 过 最 终 会 为 本 地 队 效 力，但 在 你 的 自 尊 被 一 些 调 查 高 等 精 灵 队 的 矮 人 侦 察 兵 伤 害 后，你 确 实 加 入 了。他 们 说 速 度 和 敏 捷 永 远 无 法 击 败 力 量 和 野 蛮，高 等 精 灵 队 注 定 平 庸。你 承 担 起 训 练 和 带 领 你 的 队 伍 赢 得 奖 杯 的 责 任，虽 然 你 从 未 做 到，但 你 在 联 赛 中 击 败 了 最 好 的 矮 人 队，在 他 们 的 主 场，这 是 一 个 巨 大 的 成 功，也 是 对 侦 察 兵 的 一 次 反 击。
qstr_Elves_often_say_that|精 灵 们 常 说 地 下 是 矮 人 的 地 盘，但 你 一 直 受 到 你 曾 听 说 的 著 名 战 士 团 体 故 事 的 启 发，他 们 去 世 界 各 地 的 地 牢 寻 找 宝 藏 和 强 大 的 被 遗 忘 的 敌 人。你 惊 讶 地 发 现 有 多 少 精 灵 参 加 了 这 些 冒 险 队 伍，因 为 在 家 乡 这 并 不 被 谈 及。你 决 定 在 诺 斯 卡 之 地 附 近 寻 找 并 加 入 一 个 低 调 但 勇 敢 的 冒 险 队 伍，以 体 验 一 下 那 种 感 觉。
qstr_You_joined_the_infam|你 加 入 了 精 灵 射 手 的 恶 名 昭 彰 行 列，他 们 是 精 灵 军 队 的 中 坚 力 量，向 敌 人 倾 泻 致 命 的 箭 雨。虽 然 你 加 入 的 单 位 是 军 队 中 最 低 等 的 之 一，但 资 格 认 证 仍 然 非 常 困 难，因 为 要 求 的 标 准 很 高，他 们 每 周 测 试 两 次 以 确 保 清 晰 度。
qstr_Elven_horses_are_fam|精 灵 马 以 血 统 纯 正 而 闻 名，即 使 最 好 的 阿 拉 伯 马 可 以 声 称 几 乎 一 样 快，但 它 们 远 不 如 在 艾 里 昂 平 原 培 育 的 马 匹 强 壮，也 没 有 同 样 的 高 速 耐 力。你 在 田 野 上 的 一 个 马 匹 训 练 社 区 工 作，确 保 为 军 队 培 育 的 数 百 匹 马 具 有 绝 对 最 好 的 质 量 和 最 佳 的 战 斗 体 型，既 能 保 护 骑 手 也 能 保 护 自 己。
qstr_The_Elves_are_not_bi|精 灵 并 不 热 衷 战 争 机 器，却 非 常 善 于 使 用 连 发 弩 炮；这 种 武 器 能 把 敌 军 中 常 见 的 巨 兽 单 位 真 正 撕 成 碎 片。你 学 习 了 各 种 弩 炮 的 机 械 原 理 与 构 造，也 掌 握 了 军 中 少 数 高 级 攻 城 器 械 的 知 识，从 而 能 帮 助 同 袍 更 快、更 有 效 地 操 作 它 们。
qstr_You_spent_2_years_st|你 花 了 两 年 研 究 各 个 种 族 的 身 体 构 造，只 为 掌 握 最 残 酷、最 有 效 的 拷 问 手 段。此 后，你 被 调 往 哈 格 · 格 雷 夫 的 高 塔，专 门 审 讯 身 份 显 赫 的 囚 犯，以 及 那 些 掌 握 关 键 情 报 的 人。
qstr_You_became_intereste|你 在 黑 暗 精 灵 队 主 宰 所 有 主 要 杯 赛 的 时 候 对 血 碗 产 生 了 兴 趣。你 练 习 了 多 年，最 终 被 签 为 纳 迦 隆 德 一 支 崭 露 头 角 的 最 佳 队 伍 中 的 线 卫 精 灵。你 开 局 顺 利，帮 助 队 伍 赢 得 了 兽 人 牙 杯，但 随 着 黑 暗 精 灵 胜 利 带 来 的 荣 誉 堆 积，家 乡 的 压 力 也 增 大，你 最 终 被 弃 用，让 位 给 一 名 女 巫 精 灵。在 任 何 其 他 时 代，你 都 足 够 优 秀，但 你 恰 逢 黄 金 一 代 时 期，你 的 梦 想 在 真 正 开 始 前 就 结 束 了。
qstr_You_did_not_have_the|你 没 有 成 为 海 盗 的 天 赋，但 你 想 成 为 他 们 船 员 的 一 部 分 并 分 享 他 们 的 成 功。你 知 道 如 何 操 作 船 只，是 一 名 优 秀 的 导 航 员，这 对 海 盗 来 说 是 一 项 关 键 技 能，因 为 从 混 沌 矮 人 营 地 到 目 标 区 域 的 距 离 通 常 极 长。你 最 终 被 调 到 一 个 黑 暗 精 灵 领 主 的 船 上，他 因 你 的 才 能 而 动 用 职 权，你 在 与 混 沌 的 无 情 战 争 中 度 过 了 八 年。
qstr_You_bought_the_fines|你 买 了 你 能 找 到 的 最 好 的 黑 暗 战 马，并 担 任 军 队 野 战 元 帅 的 传 令 官。你 在 军 队 前 方 充 当 侦 察 兵，追 踪 敌 军 主 力，在 战 斗 前，你 被 派 去 与 对 方 对 等 人 员 谈 判，并 拒 绝 任 何 向 你 提 出 的 和 平 请 求 或 投 降 条 款。如 果 需 要 在 盟 军 或 其 他 种 族 的 外 交 人 物 之 间 传 递 消 息，你 通 常 被 派 去。
qstr_While_you_thrive_in_|和 所 有 黑 暗 精 灵 一 样，你 享 受 激 烈 厮 杀，却 也 喜 欢 有 组 织 的 比 武 与 旧 世 界 各 地 的 竞 技 大 会。你 曾 担 任 竞 技 场 主 管，日 常 职 责 是 安 排 战 斗 学 校 的 训 练，确 保 每 一 名 新 人 都 经 受 最 严 苛 的 考 验。每 当 城 中 举 办 大 型 锦 标 赛，你 还 要 与 领 主 一 同 筹 办 一 场 盛 大、刺 激 而 令 人 难 忘 的 赛 事。
qstr_You_grew_up_with_gre|你 自 幼 便 对 恐 怖 骑 士 充 满 敬 仰，加 之 出 身 名 门 望 族，得 以 被 选 为 一 位 声 名 显 赫 的 恐 怖 骑 士 的 学 徒。在 随 军 征 战 期 间，你 悉 心 照 料 他 的 所 有 需 求，确 保 他 的 武 器、盔 甲 与 冷 蜥 始 终 处 于 最 佳 状 态，并 从 中 习 得 了 如 何 成 为 一 名 出 色 的 骑 手，以 及 如 何 变 得 与 你 骑 乘 的 冷 蜥 一 般 坚 韧。
qstr_You_earnt_yourself_a|你 与 著 名 的 矮 人 巨 人 队 签 订 合 约，担 任 右 翼 内 侧 的 冲 击 手。你 热 爱 联 赛 中 纯 粹 的 暴 力 美 学，面 对 矮 人 队 这 样 行 动 迟 缓 的 队 伍，你 必 须 展 现 出 极 致 的 凶 悍，为 对 手 筑 起 一 道 坚 不 可 摧 的 石 墙。你 因 勇 敢 对 抗 敌 方 明 星 球 员，以 及 精 通 守 卫、擒 抱 和 重 击 技 巧 而 备 受 赞 誉。
qstr_You_trained_as_a_tat|你 曾 受 训 成 为 纹 身 师，专 攻 屠 夫 纹 身，尤 其 是 那 些 能 增 强 屠 夫 韧 性 与 耐 力 的 纹 样。你 深 知 屠 夫 寻 求 的 是 壮 烈 战 死，但 在 目 睹 了 屠 夫 在 矮 人 军 事 胜 利 中 的 关 键 作 用 后，你 决 定 暗 中 助 其 存 活。
qstr_Although_some_of_you|尽 管 部 分 家 人 并 不 赞 同，你 始 终 仰 慕 矮 人 军 队 中 的 雷 鸣 枪 手，并 立 志 成 年 后 也 能 像 他 们 一 样 熟 练 使 用 手 枪。你 用 一 把 偶 然 从 木 桶 里 找 到 的 精 巧 短 枪，把 自 己 训 练 成 眼 力 锐 利 的 射 手。起 初，你 拿 酒 杯 和 老 鼠 当 靶 子；后 来 一 位 领 主 见 识 了 你 的 本 事，便 出 钱 雇 你 秘 密 练 习 由 他 亲 自 挑 选 的 活 靶。
qstr_In_the_tight_tunnels|在 群 山 狭 窄 的 隧 道 中，即 便 少 量 矮 人 也 能 凭 借 出 色 的 防 御 战 技 与 坚 固 盾 牌 组 成 难 以 逾 越 的 壁 垒。制 盾 是 矮 人 的 专 长 之 一，你 曾 在 盾 匠 铺 工 作，从 加 固 木 材 到 最 上 等 的 青 铜 与 黄 金 切 片，打 造 各 种 盾 牌。
qstr_You_served_as_an_anv|你 曾 担 任 铁 砧 守 卫，护 卫 一 位 符 文 领 主。本 应 由 你 保 护 他，但 实 际 上 那 铁 砧 的 魔 法 替 你 挡 下 的 箭 矢，远 比 你 保 护 符 文 领 主 免 受 敌 军 攻 击 的 次 数 要 多。你 忠 诚 而 光 荣 地 效 忠 于 领 主，待 他 年 老 寿 终 后，你 得 以 自 由 追 寻 新 方 向。
qstr_You_served_your_castl|你 效 忠 城 堡 领 主 四 年，确 保 他 的 每 一 项 意 愿 得 到 贯 彻，信 息 链 上 的 每 个 人 都 能 及 时 跟 进 并 为 实 现 领 主 的 期 望 而 努 力。你 刻 意 让 自 己 始 终 领 先 于 矮 人 王 国 的 所 有 政 治 军 事 局 势，以 便 领 主 询 问 时 总 能 对 答 如 流。
qstr_Clan_Eshin_as_well_a|艾 辛 氏 族 以 及 许 多 你 所 知 的 领 主 都 喜 欢 在 战 前 为 武 器 涂 上 致 命 毒 药。若 能 掌 握 炼 制 最 强 效 毒 药 的 配 方，这 行 当 利 润 极 其 丰 厚。你 从 一 位 祭 司 那 里 偷 得 一 种 剧 毒 配 方 并 据 为 己 有。很 快，你 的 名 字 便 成 为 那 些 只 认 钱 能 买 到 最 好 货 色 的 人 首 选。你 因 此 暴 富，并 在 那 位 祭 司 开 始 声 张 时，雇 佣 顶 尖 刺 客 将 其 灭 口。
qstr_The_Skaven_excel_in_|斯 卡 文 鼠 人 擅 长 制 造 枪 械，其 技 术 甚 至 超 越 矮 人，并 能 利 用 次 元 石 能 量 增 强 武 器 威 力。其 大 规 模 生 产 枪 支 的 瑰 宝 当 属 次 元 步 枪，众 所 周 知，精 准 射 击 足 以 击 穿 帝 国 坦 克。你 曾 为 斯 库 里 氏 族 制 造 并 测 试 这 些 武 器。
qstr_Traditional_skaven_s|斯 卡 文 鼠 人 的 传 统 战 场 策 略 是 投 入 大 量 鼠 辈 向 前 冲 锋，直 至 以 数 量 压 倒 敌 人。此 法 常 能 奏 效，但 普 通 鼠 人 士 兵 伤 亡 惨 重，主 力 部 队 需 要 尽 可 能 多 的 新 兵，然 而 并 非 所 有 鼠 人 都 自 愿 参 军。你 曾 效 力 于 议 会 组 建 的 小 队，专 事 威 逼 利 诱 氏 族 鼠 入 伍，让 他 们 的 生 活 苦 不 堪 言，直 至 放 弃 其 他 抱 负 而 屈 服。
qstr_You_were_part_of_the|你 曾 参 与 鼠 巨 魔 的 培 育 计 划，这 结 合 了 扭 曲 的 基 因 与 难 以 想 象 的 痛 苦。大 多 数 个 体 在 成 熟 前 便 会 死 亡，但 幸 存 者 通 常 是 嗜 血 杀 手，且 完 全 依 赖 你 的 指 令。你 还 培 育 并 控 制 鼠 群，它 们 更 多 被 用 于 地 下 城 和 隧 道 系 统，而 非 正 面 战 场。
qstr_You_were_trained_rig|你 接 受 着 艾 辛 氏 族 导 师 严 格 的 训 练，掌 握 了 暗 杀 的 要 领，并 获 得 导 师 的 青 睐。快 速 解 决 目 标 并 离 开，所 有 武 器 中 你 最 擅 长 扔 飞 镖，如 此 出 乎 意 料 有 如 此 致 命。你 花 了 好 几 个 月 努 力 的 练 习 如 何 投 掷 的 更 加 准 确，直 到 你 能 对 付 专 业 军 队 士 兵。
qstr_With_treachery_and_b|在 背 叛 与 被 背 叛 成 风 的 鼠 人 社 会 中 作 为 一 个 领 主 可 也 是 不 很 好 过，作 为 掌 管 着 成 千 上 万 的 鼠 人 意 味 着 将 有 成 千 上 万 刺 向 你 背 后 的 尖 刀，你 必 须 在 各 方 面 心 有 戚 戚，这 就 是 为 什 么 你 能 当 好 一 个 管 事。听 到 的 每 一 声 低 语，看 到 的 每 一 个 伎 俩，并 确 保 你 能 躲 过 任 何 可 能 危 及 你 作 为 管 事 的 地 位。你 知 道 你 的 领 主 不 信 任 你，你 也 不 信 任 他，但 你 做 好 你 的 事，表 现 你 的 忠 诚 就 没 问 题，除 此 之 外 你 可 以 尽 可 能 在 他 的 金 库 里 顺 手 牵 羊。
qstr_With_the_passing_of_|随 着 时 间 流 逝，初 代 吸 血 鬼 纳 斐 拉 塔 的 古 老 血 液 明 显 改 变 了 你。流 淌 在 血 管 中 的 悠 久 诅 咒 令 皮 肤 苍 白、面 容 扭 曲、双 眼 如 虚 无 洞 穴。外 表 变 化 也 带 来 新 的 野 心 与 梦 想：统 治 的 梦 想 悄 然 侵 入 心 智，征 服 欲 攫 取 了 近 乎 消 逝 的 灵 魂。你 知 道 自 己 注 定 在 世 界 留 下 印 记，只 是 仍 得 面 对 原 本 的 生 活，直 到 某 一 天，你 因 为……抛 下 了 一 切。
qstr_With_the_passing_of_t|随 着 时 间 流 逝，初 代 吸 血 鬼 纳 斐 拉 塔 的 古 老 血 液 明 显 改 变 了 你。皮 肤 变 得 苍 白，面 容 扭 曲，双 眼 空 洞。你 曾 以 为 血 龙 骑 士 只 是 雷 雨 夜 用 来 吓 唬 孩 子 的 传 说，可 自 身 血 液 告 诉 你：那 些 曾 是 高 贵 圣 骑 士、后 被 不 知 名 叛 徒 化 为 吸 血 鬼 的 战 士 真 实 存 在，至 今 仍 活 着。你 发 誓 要 成 为 其 中 一 员，却 仍 得 面 对 原 本 的 生 活，直 到 某 一 天，你 因 为……抛 下 了 一 切。
qstr_With_the_passing_of_ti|随 着 时 间 流 逝，纳 斐 拉 塔 的 古 老 血 液 令 你 变 得 苍 白、狰 狞 而 空 洞。自 主 人 赐 下 血 之 吻 后，你 从 未 离 开 过 他。在 其 引 导 下，你 日 益 熟 悉 吸 血 鬼 的 生 存 方 式，以 奴 仆 般 的 服 从 回 报 他 的 庇 护 与 教 导。直 到 转 化 完 全，你 已 成 为 成 熟 吸 血 鬼，并 因 为……离 开 领 主 的 城 堡。
